optimizer,epoch,loss,accuracy,f1_score
SGD,1,2.4250643712615965,12.314,0.01651952984135842
SGD,2,1.9612073050308227,20.956,0.2037539068981758
SGD,3,1.791591205177307,29.406,0.2856285114164552
SGD,4,1.695692803993225,34.244,0.33250863553963944
SGD,5,1.6232710539245605,38.078,0.3724320002190663
SGD,6,1.5427618410110473,41.648,0.4083289303642008
SGD,7,1.4702585054016113,45.072,0.4430787955007086
SGD,8,1.403768815498352,48.078,0.47326665473741114
SGD,9,1.3473294277954102,50.526,0.49848170842876305
SGD,10,1.2957463985061646,52.39,0.5177463651399483
SGD,11,1.2511662788772584,54.504,0.5391102856692949
SGD,12,1.2057660424613952,56.564,0.5608343113740949
SGD,13,1.1567950814819337,58.264,0.5779627491477342
SGD,14,1.1185342112731933,59.886,0.5947201262937385
SGD,15,1.0867589714431762,61.144,0.6078265108704587
SGD,16,1.0615292711639404,62.096,0.6175489134769099
SGD,17,1.0297170974731444,63.342,0.6299411272793712
SGD,18,1.0008037595939636,64.51,0.6420929553991117
SGD,19,0.9813833407592774,65.05,0.6475167392936101
SGD,20,0.9582240437698364,65.976,0.6571722712449871
SGD,21,0.9372837622833252,66.764,0.6655729936829384
SGD,22,0.9139985876464843,67.508,0.6732559888588948
SGD,23,0.8933860720062256,68.584,0.6844021567197383
SGD,24,0.8800053833961486,68.888,0.687408954374823
SGD,25,0.8675751046943665,69.526,0.6941094045023283
SGD,26,0.850608690662384,70.348,0.7021123992330762
SGD,27,0.8317851021003723,70.958,0.7082732468427797
SGD,28,0.8162236825942993,71.404,0.7131945671703275
SGD,29,0.7977747165679931,71.914,0.7179955237634351
SGD,30,0.7872176727294922,72.612,0.7251744416387516
SGD,31,0.770921093788147,73.222,0.7313550698557539
SGD,32,0.7600547088813782,73.412,0.7333770708121673
SGD,33,0.7446523619842529,74.134,0.7406331205020097
SGD,34,0.7376887683105469,74.344,0.7425363541802005
SGD,35,0.7224331835269928,74.998,0.7493070876288065
SGD,36,0.7126554495048523,75.524,0.7547357635337116
SGD,37,0.7030118618011475,75.722,0.7564953956855007
SGD,38,0.6921596619415283,76.164,0.7610624719146524
SGD,39,0.6774336025428772,76.764,0.7670262992555428
SGD,40,0.6681995425605773,76.864,0.7681336400936695
SGD,41,0.6615138759613037,77.386,0.7734917085063957
SGD,42,0.6551527289390564,77.48,0.7742111102155897
SGD,43,0.6410773888015747,78.0,0.7795355732201602
SGD,44,0.6321271887207032,78.262,0.7821366066017765
SGD,45,0.6216192548751831,78.778,0.7872662106535697
SGD,46,0.6176755943870544,79.104,0.7905116054544219
SGD,47,0.6046662713909149,79.294,0.7924223264928092
SGD,48,0.592272018661499,79.862,0.7981961726240698
SGD,49,0.5930280409526825,79.796,0.79759698906735
SGD,50,0.5844422066688537,80.02,0.7998680200727601
ADAM,1,1.7436976945877076,33.662,0.0845076501810698
ADAM,2,1.3685738402175904,50.608,0.4999628094863816
ADAM,3,1.1774876916122436,58.972,0.5853656505184779
ADAM,4,1.0528568883895875,63.814,0.6357610821251231
ADAM,5,0.9604110384178162,67.104,0.6696545348217751
ADAM,6,0.8984318779754639,70.184,0.700729507356426
ADAM,7,0.837821436958313,72.484,0.72434363023858
ADAM,8,0.8001671055603027,73.782,0.7373887165362026
ADAM,9,0.7601669144058227,75.198,0.7514419571278756
ADAM,10,0.7350845654010773,76.28,0.7623174276716554
ADAM,11,0.720080754623413,76.95,0.7690297439938059
ADAM,12,0.7062173714065552,77.312,0.772676155117631
ADAM,13,0.6884566635131836,77.812,0.7777131025120712
ADAM,14,0.6759112564086914,78.248,0.7820592799728003
ADAM,15,0.6589551384925842,79.088,0.7906727611821672
ADAM,16,0.6605776430511474,78.846,0.788184914986958
ADAM,17,0.6415974733161927,79.68,0.7964213107117553
ADAM,18,0.6305999650382995,79.938,0.798929280514349
ADAM,19,0.6257258724784851,80.026,0.8000606097602843
ADAM,20,0.6221944732666016,80.102,0.800768850831046
ADAM,21,0.6145229270553589,80.47,0.8043215011203391
ADAM,22,0.6057672935676575,80.76,0.8074086019833855
ADAM,23,0.6108487089347839,80.582,0.8055876204281702
ADAM,24,0.6039901369857789,80.806,0.8076689743930059
ADAM,25,0.5935518772315979,81.292,0.8126872336773193
ADAM,26,0.5970793553161621,81.078,0.8104791337130826
ADAM,27,0.5937304434680939,81.252,0.812272139880811
ADAM,28,0.5880143268203736,81.394,0.8136668463275006
ADAM,29,0.5872028072738648,81.382,0.813431551404691
ADAM,30,0.5800740225219727,81.494,0.8146578434809054
ADAM,31,0.5784017895507813,81.606,0.8157975847447423
ADAM,32,0.5796495909309387,81.638,0.8160411174386624
ADAM,33,0.5751388689804077,81.894,0.8185914906987921
ADAM,34,0.5763611275100708,81.734,0.8170067911685657
ADAM,35,0.5692905285453796,82.042,0.8200235979278926
ADAM,36,0.566427954454422,82.084,0.8205532590351415
ADAM,37,0.5691651811408996,82.062,0.8203412738248266
ADAM,38,0.5671892551040649,82.044,0.820069616654355
ADAM,39,0.5693550641441345,81.982,0.8195963404519091
ADAM,40,0.5611643732833862,82.392,0.8236375808362352
ADAM,41,0.5687505679702759,81.938,0.8190839069598702
ADAM,42,0.5613446980762482,82.224,0.8220890571035382
ADAM,43,0.560417290802002,82.158,0.8212526114996412
ADAM,44,0.5570468186187744,82.494,0.82473739696454
ADAM,45,0.5525105453491211,82.418,0.8238682624937459
ADAM,46,0.5552537418651581,82.508,0.8248110077301389
ADAM,47,0.5549918046569824,82.472,0.8243767527175416
ADAM,48,0.5536761771392822,82.44,0.8240346474723189
ADAM,49,0.5604744356918335,82.372,0.8233218422629814
ADAM,50,0.5541780057144166,82.508,0.8247572857614314
ADAMW,1,1.7235602110671997,34.594,0.0848233893514189
ADAMW,2,1.3482506477737426,51.532,0.5097269243994401
ADAMW,3,1.182562389564514,58.344,0.5799212200299814
ADAMW,4,1.0621177214813233,63.188,0.6302077094827746
ADAMW,5,0.9869715756225586,66.176,0.6603899508170292
ADAMW,6,0.9208138607788086,68.786,0.6866214044130721
ADAMW,7,0.8612271629142761,71.238,0.7116242165555814
ADAMW,8,0.8116024167442322,72.862,0.7277148541401697
ADAMW,9,0.7676978422737122,74.45,0.7439627250278813
ADAMW,10,0.7404312321281433,75.456,0.7538008785608958
ADAMW,11,0.7058372762870788,76.674,0.7664408443467648
ADAMW,12,0.674112741985321,78.018,0.7796638797285543
ADAMW,13,0.6617627166748047,78.314,0.7824416979359787
ADAMW,14,0.632882813091278,79.36,0.7930042756051676
ADAMW,15,0.6118918157196045,79.972,0.7991657172010104
ADAMW,16,0.5984977411651611,80.23,0.8017564973012975
ADAMW,17,0.5801739745759964,81.182,0.8114441445529206
ADAMW,18,0.5687292965316773,81.672,0.8162490858634979
ADAMW,19,0.5600027150917053,81.862,0.8181165789892464
ADAMW,20,0.5410809417533875,82.38,0.8233075659420022
ADAMW,21,0.5304093070888519,82.85,0.828144434382892
ADAMW,22,0.5210114878749847,83.108,0.8306535425260151
ADAMW,23,0.5117846728134156,83.25,0.832072495888573
ADAMW,24,0.5022908645009995,83.576,0.8353356130094227
ADAMW,25,0.4920728378677368,84.0,0.8396724479267375
ADAMW,26,0.4844946219730377,84.244,0.8420306574687283
ADAMW,27,0.4765297310638428,84.308,0.8427131133802025
ADAMW,28,0.4718216685295105,84.694,0.8466630390337306
ADAMW,29,0.46357956493377683,84.812,0.8477673523372757
ADAMW,30,0.4543414933013916,84.934,0.8489993156245668
ADAMW,31,0.44857480026245117,85.48,0.854581830540733
ADAMW,32,0.4399028796005249,85.73,0.8571191290316131
ADAMW,33,0.4292608804666996,86.016,0.8598737389183707
ADAMW,34,0.42973090041160583,86.162,0.8612971143834803
ADAMW,35,0.42396401369571685,86.116,0.860929609450386
ADAMW,36,0.41581923862457276,86.534,0.8649844465688785
